IMU_ATTI(0):alti:D,IMU_ATTI(0):relativeHeight:C,IMU_ATTI(0):roll:C,IMU_ATTI(0):pitch:C,IMU_ATTI(0):yaw:C,AirSpeed:windSpeed,AirSpeed:windDirection
217.56071,0.6078646933593745,0.6005239161360894,1.0357892946609497,101.33993603418244,0.12407588,-58.394752621676645
217.56065,1.084564522460937,0.542000546264533,1.0148589872039462,101.333240812884,0.13040307,-61.22028167181934
217.56047,0.981109932617187,0.4835563839078883,1.0187034674477478,101.31728980485084,0.13040307,-61.22028167181934
217.56021,0.7336276328124995,0.4278826193338977,1.0508267101888156,101.31151047905438,0.13040307,-61.22028167181934
217.55994,1.553161934570312,0.3616041334584419,1.1297024395164232,101.3180661445302,0.13040307,-61.22028167181934
217.56015,1.329010323242187,0.3024115553551852,1.229724911990618,101.32397165111674,0.13040307,-61.22028167181934
217.56053,0.833038643554687,0.2760490158827732,1.317696108153294,101.32077946887767,0.13040307,-61.22028167181934
217.56119,1.081543282226562,0.271681296274304,1.4214335425072848,101.32436665722672,0.13766035,-63.867697776483965
217.56166,0.4333956992187495,0.3136096433916756,1.5116578124597382,101.34489318667298,0.13766035,-63.867697776483965
217.56232,1.157593086914062,0.3790254698846139,1.561319157679679,101.3501294531432,0.13766035,-63.867697776483965
217.56303,1.0987704550781243,0.4373931815991639,1.5756514085803508,101.35584114962889,0.13766035,-63.867697776483965
217.56375,0.945617989257812,0.5378769646092916,1.56839412591805,101.35984097618632,0.13766035,-63.867697776483965
217.56403,0.7731784140624995,0.6390352709731913,1.526065237726692,101.35427571127076,0.13766035,-63.867697776483965
217.56425,1.332062081054687,0.6902659330961294,1.4814817138211358,101.35198794009344,0.14609316,-66.27086912483274
217.56456,1.246857002929687,0.7125095064478181,1.41626692324816,101.35243088472656,0.14609316,-66.27086912483274
217.56456,1.477081612304687,0.6924976837931889,1.3599973151131644,101.36636423072632,0.14609316,-66.27086912483274
217.56403,1.053131416992187,0.6077167349974079,1.3053113551144062,101.368851495404,0.14609316,-66.27086912483274
217.56372,1.0419772421874995,0.4529242795175659,1.2730469025588314,101.38066017656683,0.14609316,-66.27086912483274
217.56349,1.177887276367187,0.246234793771175,1.251576880303584,101.40031872123106,0.14609316,-66.27086912483274
217.56335,1.2620700156249995,0.0757805387197227,1.2433859544795918,101.42827464185272,0.15533864,-68.39367789148189
217.56291,0.945617989257812,-0.0100458525918772,1.2489457215440705,101.45988297195063,0.15533864,-68.39367789148189
217.56235,1.381744698242187,-0.0228999599860481,1.267629355014051,101.4905971517297,0.15533864,-68.39367789148189
217.56189,1.0460360800781243,0.0361323010053163,1.3046481011051634,101.48731350357842,0.15533864,-68.39367789148189
217.5616,1.003418282226562,0.1263419350038815,1.3384494601033257,101.47732756533608,0.15533864,-68.39367789148189
217.56128,0.8685458457031245,0.1812324283672242,1.381146437215346,101.47127290591648,0.1654925,-70.12787521219433
217.56102,0.9598239218749997,0.1894925593842903,1.4744338038624285,101.4603603930663,0.1654925,-70.12787521219433
217.56096,0.5287326132812495,0.1598380846131636,1.5640102139182672,101.45742847219164,0.1654925,-70.12787521219433
217.5611,1.2042697226562495,0.1032218938473803,1.6213262653141132,101.44318881827624,0.1654925,-70.12787521219433
217.56169,0.659576729492187,0.0311576543516317,1.715885731850702,101.4319424239344,0.1654925,-70.12787521219433
217.56207,1.1758578574218743,0.0642028824931357,1.8025116117743896,101.4201508852926,0.1654925,-70.12787521219433
217.56326,1.390869454101562,0.1849838498017705,1.8544711405916967,101.4097505103442,0.17692344,-71.6637546995065
217.56413,0.6017611777343745,0.3264339853852818,1.9050023147256965,101.40109976357375,0.17692344,-71.6637546995065
217.56497,1.6414035117187495,0.5209954681280118,1.9690234695861872,101.39549163866867,0.17692344,-71.6637546995065
217.56535,0.821869209960937,0.68526984105965,2.007388409220449,101.40488058370494,0.17692344,-71.6637546995065
217.56572,1.086609200195312,0.7279984740156233,2.022245134878907,101.42427206387572,0.17692344,-71.6637546995065
217.56569,1.1038363730468743,0.7048880926694373,2.020872034443191,101.44776019649474,0.17692344,-71.6637546995065
217.56573,0.988220528320312,0.637913984040648,1.9796957297519888,101.46569529265145,0.1898288,-73.04302985304679
217.56578,1.393921211914062,0.4893878168093693,1.9096895679244013,101.48977901274657,0.1898288,-73.04302985304679
217.56538,0.917206124023437,0.333278949678557,1.868471498932496,101.52230810768876,0.1898288,-73.04302985304679
217.56438,0.9009860312499997,0.2001419016845439,1.806005105445949,101.55238304785524,0.1898288,-73.04302985304679
217.56337,0.881714180664062,0.1264417826223132,1.7376167818431325,101.59362406723774,0.1898288,-73.04302985304679
217.56264,0.9344638144531244,0.0948410982969635,1.720146544399804,101.62542601836653,0.1898288,-73.04302985304679
217.56161,1.073425606445312,0.0784458580900001,1.774447386873616,101.65938147574532,0.20405772,-74.09768466669072
217.56053,0.7082675253906245,0.0439235501379363,1.8580829159955583,101.67822030621188,0.20405772,-74.09768466669072
217.5596,0.585541084960937,-0.03430257052165,1.9581525563158455,101.68382385082197,0.20405772,-74.09768466669072
217.55899,0.825928047851562,-0.1294868531938427,2.0528759375973733,101.6865186837329,0.20405772,-74.09768466669072
217.55856,1.087616280273437,-0.2448683886452237,2.185148845870469,101.68773259392243,0.20405772,-74.09768466669072
217.55865,0.904022530273437,-0.313276970338463,2.2943392748812306,101.6749691373286,0.20405772,-74.09768466669072
217.55849,1.217438057617187,-0.3324703792537471,2.3354961801265217,101.66483657163256,0.21935685,-74.87086308807649
217.55803,0.731598213867187,-0.3010328117959259,2.3326116885474875,101.65418723736023,0.21935685,-74.87086308807649
217.55801,0.970978096679687,-0.1941765488619277,2.327990513191327,101.63515954887652,0.21935685,-74.87086308807649
217.55768,0.8847506796874995,-0.0712003385810552,2.289727003859673,101.61229348438114,0.21935685,-74.87086308807649
217.55801,1.003418282226562,0.0757657298951534,2.2452967010419065,101.58364590426166,0.21935685,-74.87086308807649
217.55896,1.1322482382812495,0.2447285188960739,2.225929347166572,101.54609445842576,0.21935685,-74.87086308807649
217.56007,1.146454170898437,0.37143844923287,2.2293724751276374,101.51205026371264,0.23524718,-75.60754729366003
217.5611,1.0348666464843743,0.4451227462599062,2.2341141135136446,101.48738295364136,0.23524718,-75.60754729366003
217.56259,0.555115059570312,0.5365232836574181,2.261873914528303,101.46669672655334,0.23524718,-75.60754729366003
217.56352,0.826935127929687,0.5933175018906119,2.318128624078156,101.45467831584465,0.23524718,-75.60754729366003
217.56456,0.824920967773437,0.602028359731937,2.3614120634125486,101.45518334026178,0.23524718,-75.60754729366003
