IMU_ATTI(0):alti:D,IMU_ATTI(0):relativeHeight:C,IMU_ATTI(0):roll:C,IMU_ATTI(0):pitch:C,IMU_ATTI(0):yaw:C,AirSpeed:windSpeed,AirSpeed:windDirection,CompassFilter(1):X:D,CompassFilter(1):Y:D,CompassFilter(1):Z:D,IMU_ATTI(0):tiltInclination:C,IMU_ATTI(0):tiltDirectionEarthFrame:C
218.06287,2.0831296777343766,1.4863099027333866,2.20301511819521,124.83085966715416,0.82903475,-59.34838872189095,31.0,-22.0,510.0,2.656697700586431,-89.16839391077542
218.06284,2.604385170898439,1.4577994959943457,2.2129974323310764,124.85521853187646,0.8402936,-59.8982328667456,29.0,-24.0,512.0,2.649210106977437,-88.5120364706852
218.06273,2.391418251953126,1.422715416933907,2.243685845158431,124.87054633548571,0.8402936,-59.8982328667456,26.0,-23.0,510.0,2.6559576472715145,-87.50020932522402
218.0623,2.299148354492189,1.402296647626729,2.2770682160812146,124.87510419691849,0.8402936,-59.8982328667456,32.0,-23.0,509.0,2.6734507126314595,-86.74271672396758
218.06128,2.6966550683593766,1.3832245883061127,2.294985641597169,124.889207956124,0.8402936,-59.8982328667456,31.0,-23.0,513.0,2.678839432869802,-86.1802052921392
218.06154,2.286971840820314,1.3942805261407032,2.297304725588256,124.89946525235058,0.8402936,-59.8982328667456,31.0,-24.0,513.0,2.6865339272031057,-86.34633630326384
218.06091,2.233230385742189,1.3956199974690795,2.2062284382248007,124.91056684558384,0.8402936,-59.8982328667456,30.0,-25.0,509.0,2.609856769167669,-87.39845703300279
218.06067,2.203826699218752,1.3155252153508623,2.0790377776433577,124.918572499299,0.85148036,-60.39566528241592,27.0,-24.0,513.0,2.459668509541075,-87.39847144662554
218.06036,2.2839353417968766,1.1408257770673846,2.0331782707414074,124.92832529140132,0.85148036,-60.39566528241592,32.0,-27.0,510.0,2.3309040998413426,-84.3616261074482
218.06068,2.632781777343752,0.967887394027955,2.039794853224973,124.9346326423371,0.85148036,-60.39566528241592,28.0,-25.0,510.0,2.2574293144801576,-80.44254923976197
